file,line_number,classification,match_tier,reason,raw_date,date,account_raw,account_code,account_name,description,csv_key_raw,csv_debit,csv_credit,csv_net,alms_id,alms_date,alms_account_code,alms_account_name,alms_description,alms_debit,alms_credit,alms_net
Copy of General_ledger2.csv,153,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2310 RBC Visa 9016 - No Rec,2310,RBC Visa 9016 - No Rec,Journal Entry,,,2325.03,-2325.03,,,,,,,,
Copy of General_ledger2.csv,156,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2315 RBC Visa 3187,2315,RBC Visa 3187,Journal Entry,,,24972.39,-24972.39,,,,,,,,
Copy of General_ledger2.csv,159,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2320 Canadian Tire MC 0151,2320,Canadian Tire MC 0151,Journal Entry,,,14924.99,-14924.99,,,,,,,,
Copy of General_ledger2.csv,162,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2001 YE AP,2001,YE AP,Journal Entry,,,35003.62,-35003.62,,,,,,,,
Copy of General_ledger2.csv,165,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2025 Interest Payable,2025,Interest Payable,Journal Entry,,,9923.08,-9923.08,,,,,,,,
Copy of General_ledger2.csv,168,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2100 Payroll Liabilities,2100,Payroll Liabilities,Journal Entry,,,142293.03,-142293.03,,,,,,,,
Copy of General_ledger2.csv,171,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2200 GST/HST Payable,2200,GST/HST Payable,Journal Entry,,21934.89,,21934.89,,,,,,,,
Copy of General_ledger2.csv,172,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2200 GST/HST Payable,2200,GST/HST Payable,Journal Entry,,,89230.16,-89230.16,,,,,,,,
Copy of General_ledger2.csv,175,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2205 GST Remits,2205,GST Remits,Journal Entry,,7681.02,,7681.02,,,,,,,,
Copy of General_ledger2.csv,178,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2400 Prepaid Deposits,2400,Prepaid Deposits,Journal Entry,,17520.75,,17520.75,,,,,,,,
Copy of General_ledger2.csv,182,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,25011 Leases and Loans:L1 - Mercedes,25011,Leases and Loans:L1 - Mercedes,Journal Entry,,19044.39,,19044.39,,,,,,,,
Copy of General_ledger2.csv,185,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,250111 Leases and Loans:2014 Lincon,250111,Leases and Loans:2014 Lincon,Journal Entry,,2143.24,,2143.24,,,,,,,,
